time,p,q,r,phi,theta,psi,delta1,delta2,delta3,delta4
4.1,0.0300274,0.0537371,-0.00118421,0.0778167,0.136026,0.00406954,0.0274357,0.0538313,-0.024387,-0.0556897
4.2,0.0301866,0.0541815,-0.00127212,0.0808701,0.141415,0.00437776,0.0276131,0.0542981,-0.0244845,-0.056144
4.3,0.0303147,0.0545802,-0.00136417,0.083941,0.146845,0.00469734,0.0277629,0.0547209,-0.0245565,-0.0565475
4.4,0.0304115,0.054933,-0.00146041,0.0870266,0.152313,0.00502783,0.0278849,0.0550995,-0.024603,-0.0568999
4.5,0.0304771,0.0552396,-0.00156089,0.0901237,0.157813,0.00536875,0.027979,0.0554337,-0.0246239,-0.0572008
4.6,0.0305112,0.0554999,-0.00166564,0.0932292,0.163342,0.00571952,0.0280452,0.0557233,-0.0246193,-0.0574501
4.7,0.030514,0.0557137,-0.00177469,0.09634,0.168894,0.00607951,0.0280834,0.0559683,-0.0245891,-0.0576476
4.8,0.0304853,0.0558809,-0.00188806,0.0994529,0.174465,0.00644804,0.0280936,0.0561685,-0.0245334,-0.0577931
4.9,0.0304253,0.0560013,-0.00200575,0.102565,0.18005,0.00682434,0.0280758,0.0563238,-0.0244521,-0.0578865
5,0.0303339,0.056075,-0.00212777,0.105672,0.185645,0.00720758,0.0280302,0.0564343,-0.0243454,-0.0579278
5.1,0.0302114,0.0561019,-0.00225411,0.108773,0.191245,0.00759688,0.0279567,0.0564999,-0.0242133,-0.0579169
5.2,0.0300578,0.0560821,-0.00238473,0.111862,0.196846,0.0079913,0.0278555,0.0565206,-0.0240559,-0.057854
5.3,0.0298733,0.0560157,-0.00251962,0.114938,0.202442,0.00838981,0.0277267,0.0564964,-0.0238733,-0.0577391
5.4,0.029658,0.0559027,-0.00265871,0.117996,0.20803,0.00879134,0.0275706,0.0564275,-0.0236657,-0.0575725
5.5,0.0294124,0.0557433,-0.00280195,0.121034,0.213605,0.00919477,0.0273873,0.0563139,-0.0234331,-0.0573543
5.6,0.0291365,0.0555377,-0.00294928,0.124048,0.219163,0.00959892,0.027177,0.0561558,-0.0231759,-0.0570847
5.7,0.0288307,0.0552861,-0.00310061,0.127036,0.224698,0.0100025,0.0269402,0.0559532,-0.0228942,-0.0567642
5.8,0.0284954,0.0549888,-0.00325584,0.129992,0.230207,0.0104043,0.026677,0.0557064,-0.0225882,-0.056393
5.9,0.0281309,0.054646,-0.00341487,0.132916,0.235685,0.010803,0.0263877,0.0554156,-0.0222581,-0.0559716
6,0.0277375,0.0542581,-0.00357756,0.135802,0.241128,0.0111971,0.0260729,0.055081,-0.0219043,-0.0555005
6.1,0.0273159,0.0538255,-0.00374379,0.138649,0.246532,0.0115852,0.0257328,0.0547029,-0.0215269,-0.05498
6.2,0.0268663,0.0533486,-0.0039134,0.141452,0.251892,0.0119659,0.0253679,0.0542815,-0.0211265,-0.0544109
6.3,0.0263894,0.0528277,-0.00408623,0.144208,0.257203,0.0123376,0.0249787,0.0538171,-0.0207031,-0.0537936
6.4,0.0258857,0.0522634,-0.0042621,0.146915,0.262463,0.0126989,0.0245656,0.0533101,-0.0202574,-0.0531289
6.5,0.0253556,0.0516561,-0.00444082,0.149568,0.267666,0.0130482,0.0241291,0.0527607,-0.0197895,-0.0524174
6.6,0.0247999,0.0510065,-0.00462217,0.152166,0.272809,0.0133838,0.0236699,0.0521695,-0.0193001,-0.0516599
6.7,0.0242192,0.050315,-0.00480594,0.154704,0.277888,0.0137043,0.0231884,0.0515368,-0.0187894,-0.0508571
6.8,0.0236141,0.0495822,-0.00499188,0.157179,0.282898,0.014008,0.0226853,0.050863,-0.0182579,-0.0500099
6.9,0.0229853,0.0488089,-0.00517975,0.15959,0.287836,0.0142932,0.0221612,0.0501486,-0.0177063,-0.0491191
7,0.0223336,0.0479956,-0.00536928,0.161931,0.292698,0.0145584,0.0216168,0.049394,-0.0171349,-0.0481856
7.1,0.0216596,0.0471431,-0.00556019,0.164202,0.297481,0.014802,0.0210527,0.0485998,-0.0165444,-0.0472104
7.2,0.0209643,0.046252,-0.00575219,0.166398,0.30218,0.0150223,0.0204696,0.0477665,-0.0159352,-0.0461944
7.3,0.0202484,0.0453232,-0.00594497,0.168517,0.306792,0.0152178,0.0198683,0.0468947,-0.0153081,-0.0451386
7.4,0.0195127,0.0443574,-0.00613822,0.170557,0.311314,0.0153869,0.0192495,0.0459848,-0.0146637,-0.0440442
7.5,0.0187582,0.0433554,-0.0063316,0.172514,0.315742,0.0155281,0.0186141,0.0450376,-0.0140026,-0.0429121
7.6,0.0179857,0.0423181,-0.00652476,0.174386,0.320072,0.0156398,0.0179627,0.0440537,-0.0133255,-0.0417435
7.7,0.0171961,0.0412463,-0.00671736,0.176171,0.324302,0.0157206,0.0172962,0.0430337,-0.0126331,-0.0405395
7.8,0.0163904,0.0401409,-0.00690902,0.177866,0.328427,0.0157691,0.0166155,0.0419782,-0.0119262,-0.0393013
7.9,0.0155696,0.0390028,-0.00709937,0.179468,0.332446,0.0157839,0.0159213,0.0408881,-0.0112055,-0.0380302
8,0.0147346,0.037833,-0.00728801,0.180977,0.336355,0.0157637,0.0152147,0.039764,-0.0104719,-0.0367272
8.1,0.0138865,0.0366325,-0.00747456,0.182389,0.34015,0.0157072,0.0144963,0.0386067,-0.00972607,-0.0353938
8.2,0.0130262,0.0354021,-0.00765861,0.183703,0.343829,0.0156134,0.0137672,0.037417,-0.00896899,-0.0340311
8.3,0.0121548,0.034143,-0.00783974,0.184918,0.34739,0.0154811,0.0130283,0.0361956,-0.00820149,-0.0326404
8.4,0.0112734,0.0328562,-0.00801754,0.18603,0.350828,0.0153092,0.0122804,0.0349434,-0.00742445,-0.0312231
8.5,0.0103831,0.0315427,-0.00819158,0.18704,0.354143,0.0150969,0.0115245,0.0336613,-0.00663879,-0.0297805
8.6,0.00948485,0.0302036,-0.00836143,0.187945,0.35733,0.0148434,0.0107615,0.0323502,-0.00584545,-0.028314
8.7,0.00857985,0.0288401,-0.00852666,0.188744,0.360388,0.0145478,0.0099924,0.0310109,-0.00504539,-0.0268249
8.8,0.00766919,0.0274531,-0.00868682,0.189437,0.363315,0.0142097,0.00921811,0.0296444,-0.00423958,-0.0253146
8.9,0.00675397,0.0260439,-0.00884148,0.190022,0.366107,0.0138284,0.00843959,0.0282516,-0.00342901,-0.0237846
9,0.00583531,0.0246136,-0.00899021,0.190499,0.368763,0.0134035,0.00765778,0.0268336,-0.0026147,-0.0222361
9.1,0.00491432,0.0231634,-0.00913256,0.190867,0.37128,0.0129348,0.00687363,0.0253913,-0.00179767,-0.0206707
9.2,0.00399214,0.0216944,-0.00926809,0.191126,0.373657,0.0124222,0.00608809,0.0239258,-0.000978948,-0.0190897
9.3,0.00306988,0.020208,-0.00939637,0.191275,0.375891,0.0118655,0.0053021,0.0224381,-0.000159587,-0.0174946
9.4,0.00214866,0.0187052,-0.00951698,0.191315,0.377981,0.0112648,0.00451659,0.0209293,0.000659358,-0.0158868
9.5,0.00122959,0.0171873,-0.00962948,0.191245,0.379925,0.0106205,0.0037325,0.0194006,0.00147682,-0.0142678
9.6,0.000313799,0.0156556,-0.00973345,0.191067,0.381721,0.00993268,0.00295073,0.0178531,0.00229174,-0.012639
9.7,-0.000597631,0.0141113,-0.00982849,0.19078,0.383368,0.00920198,0.0021722,0.0162878,0.00310304,-0.0110018
9.8,-0.0015036,0.0125557,-0.0099142,0.190385,0.384864,0.00842898,0.00139781,0.014706,0.00390965,-0.00935774
9.9,-0.00240304,0.01099,-0.00999017,0.189883,0.386208,0.00761441,0.000628421,0.013109,0.0047105,-0.00770817
10,-0.00329487,0.00941564,-0.010056,0.189276,0.387399,0.00675916,-0.000135091,0.0114978,0.00550452,-0.00605457
10.1,-0.00417805,0.00783381,-0.0101114,0.188564,0.388436,0.00586421,-0.000891883,0.0098738,0.00629064,-0.00439835
10.2,-0.00505155,0.00624585,-0.010156,0.187748,0.389317,0.00493072,-0.00164113,0.00823821,0.00706781,-0.00274095
10.3,-0.00591435,0.00465305,-0.0101894,0.186831,0.390042,0.00395994,-0.00238202,0.00659233,0.00783499,-0.00108379
10.4,-0.00676546,0.00305675,-0.0102113,0.185814,0.390609,0.00295327,-0.00311377,0.00493745,0.00859115,0.00057173
10.5,-0.00760391,0.00145825,-0.0102213,0.184699,0.391019,0.00191223,-0.00383563,0.0032749,0.00933526,0.0022242
10.6,-0.00842877,-0.000141098,-0.0102194,0.183488,0.391271,0.000838431,-0.00454685,0.00160601,0.0100663,0.00387223
10.7,-0.0092391,-0.00173998,-0.010205,0.182183,0.391365,-0.000266366,-0.00524673,-6.78707e-05,0.0107834,0.00551444
10.8,-0.010034,-0.00333706,-0.010178,0.180787,0.391299,-0.00140031,-0.00593457,-0.00174537,0.0114854,0.00714946
10.9,-0.0108127,-0.00493101,-0.0101382,0.179302,0.391074,-0.00256143,-0.00660973,-0.0034251,0.0121715,0.00877595
11,-0.0115742,-0.00652049,-0.0100854,0.177731,0.39069,-0.00374767,-0.00727156,-0.00510568,0.0128408,0.0103925
11.1,-0.0123179,-0.00810418,-0.0100194,0.176076,0.390147,-0.00495688,-0.00791948,-0.00678569,0.0134924,0.0119979
11.2,-0.0130428,-0.00968075,-0.00993993,0.17434,0.389445,-0.00618682,-0.00855292,-0.00846373,0.0141254,0.0135908
11.3,-0.0137484,-0.0112489,-0.00984697,0.172527,0.388585,-0.00743516,-0.00917132,-0.0101384,0.0147389,0.0151699
11.4,-0.0144338,-0.0128072,-0.00974039,0.17064,0.387568,-0.00869952,-0.00977419,-0.0118082,0.0153323,0.0167339
11.5,-0.0150985,-0.0143545,-0.0096201,0.168681,0.386392,-0.00997744,-0.010361,-0.0134717,0.0159048,0.0182815
11.6,-0.0157417,-0.0158895,-0.00948603,0.166654,0.385061,-0.0112664,-0.0109314,-0.0151275,0.0164555,0.0198116
11.7,-0.016363,-0.0174107,-0.00933815,0.164562,0.383574,-0.0125638,-0.0114849,-0.0167742,0.0169839,0.0213228
11.8,-0.0169617,-0.018917,-0.00917645,0.162409,0.381932,-0.0138671,-0.0120212,-0.0184103,0.0174893,0.0228141
11.9,-0.0175374,-0.020407,-0.00900095,0.160198,0.380138,-0.0151737,-0.0125398,-0.0200343,0.0179711,0.0242841
12,-0.0180894,-0.0218796,-0.0088117,0.157933,0.378191,-0.0164808,-0.0130405,-0.0216448,0.0184287,0.0257319
12.1,-0.0186175,-0.0233334,-0.00860876,0.155617,0.376094,-0.0177858,-0.013523,-0.0232404,0.0188616,0.0271561
12.2,-0.0191212,-0.0247673,-0.00839223,0.153254,0.373848,-0.019086,-0.0139869,-0.0248197,0.0192694,0.0285558
12.3,-0.0196001,-0.0261799,-0.00816223,0.150847,0.371456,-0.0203787,-0.0144321,-0.0263812,0.0196516,0.0299298
12.4,-0.0200539,-0.0275702,-0.00791892,0.148401,0.368918,-0.0216612,-0.0148584,-0.0279235,0.0200077,0.0312771
12.5,-0.0204824,-0.0289368,-0.00766247,0.145918,0.366238,-0.022931,-0.0152656,-0.0294453,0.0203376,0.0325966
12.6,-0.0208852,-0.0302788,-0.00739308,0.143402,0.363416,-0.0241852,-0.0156536,-0.030945,0.0206407,0.0338873
12.7,-0.0212621,-0.0315948,-0.00711098,0.140857,0.360457,-0.0254214,-0.0160222,-0.0324214,0.020917,0.0351481
12.8,-0.021613,-0.0328839,-0.00681641,0.138286,0.357361,-0.0266369,-0.0163713,-0.0338731,0.0211662,0.0363783
12.9,-0.0219377,-0.0341449,-0.00650965,0.135693,0.354132,-0.0278293,-0.0167008,-0.0352987,0.021388,0.0375767
13,-0.0222361,-0.0353766,-0.00619101,0.133081,0.350772,-0.0289961,-0.0170109,-0.0366969,0.0215825,0.0387425
13.1,-0.0225082,-0.0365782,-0.00586079,0.130455,0.347285,-0.0301348,-0.0173013,-0.0380665,0.0217495,0.0398748
13.2,-0.0227538,-0.0377485,-0.00551935,0.127816,0.343673,-0.0312431,-0.0175721,-0.0394062,0.021889,0.0409727
13.3,-0.022973,-0.0388866,-0.00516705,0.125169,0.339939,-0.0323187,-0.0178233,-0.0407146,0.0220009,0.0420354
13.4,-0.0231659,-0.0399915,-0.00480427,0.122517,0.336087,-0.0333595,-0.0180551,-0.0419907,0.0220854,0.0430621
13.5,-0.0233324,-0.0410623,-0.00443142,0.119863,0.33212,-0.0343633,-0.0182673,-0.0432331,0.0221425,0.0440521
13.6,-0.0234726,-0.042098,-0.00404893,0.11721,0.328041,-0.0353282,-0.0184602,-0.0444407,0.0221723,0.0450045
13.7,-0.0235867,-0.0430978,-0.00365723,0.114561,0.323854,-0.0362521,-0.0186338,-0.0456125,0.0221751,0.0459187
13.8,-0.0236748,-0.0440608,-0.00325678,0.11192,0.319563,-0.0371332,-0.0187882,-0.0467473,0.0221509,0.0467939
13.9,-0.023737,-0.0449862,-0.00284807,0.109288,0.315172,-0.0379697,-0.0189236,-0.047844,0.0221002,0.0476296
14,-0.0237736,-0.0458733,-0.00243158,0.106669,0.310684,-0.0387601,-0.0190401,-0.0489016,0.022023,0.048425
14.1,-0.0237848,-0.0467214,-0.00200781,0.104066,0.306103,-0.0395028,-0.0191379,-0.0499191,0.0219199,0.0491796
14.2,-0.0237709,-0.0475296,-0.00157729,0.101481,0.301434,-0.0401963,-0.0192171,-0.0508956,0.021791,0.0498929
14.3,-0.023732,-0.0482973,-0.00114055,0.098916,0.29668,-0.0408393,-0.0192779,-0.0518301,0.0216368,0.0505643
14.4,-0.0236685,-0.0490239,-0.000698117,0.0963745,0.291846,-0.0414306,-0.0193204,-0.0527219,0.0214577,0.0511933
14.5,-0.0235807,-0.0497088,-0.000250556,0.0938583,0.286936,-0.0419691,-0.019345,-0.0535699,0.021254,0.0517794
14.6,-0.0234689,-0.0503515,0.000201576,0.0913699,0.281955,-0.0424536,-0.0193517,-0.0543736,0.0210264,0.0523223
14.7,-0.0233334,-0.0509513,0.00065771,0.0889112,0.276907,-0.0428835,-0.0193409,-0.0551321,0.0207752,0.0528214
14.8,-0.0231747,-0.0515079,0.00111727,0.0864844,0.271796,-0.0432577,-0.0193127,-0.0558447,0.0205011,0.0532766
14.9,-0.0229931,-0.0520208,0.00157967,0.0840914,0.266627,-0.0435758,-0.0192673,-0.0565108,0.0202044,0.0536873
15,-0.0227889,-0.0524895,0.00204433,0.0817341,0.261404,-0.043837,-0.0192049,-0.0571297,0.0198858,0.0540535
15.1,-0.0225627,-0.0529137,0.00251066,0.0794143,0.256133,-0.0440409,-0.0191259,-0.057701,0.0195458,0.0543747
15.2,-0.0223148,-0.0532931,0.00297805,0.0771337,0.250817,-0.0441872,-0.0190304,-0.058224,0.0191851,0.0546508
15.3,-0.0220457,-0.0536274,0.00344592,0.074894,0.245462,-0.0442756,-0.0189186,-0.0586984,0.0188043,0.0548815
15.4,-0.0217557,-0.0539164,0.00391366,0.0726966,0.240072,-0.044306,-0.0187909,-0.0591237,0.0184039,0.0550668
15.5,-0.0214454,-0.0541597,0.00438069,0.070543,0.234653,-0.0442782,-0.0186474,-0.0594995,0.0179847,0.0552066
15.6,-0.0211153,-0.0543574,0.00484639,0.0684347,0.229208,-0.0441924,-0.0184884,-0.0598256,0.0175473,0.0553007
15.7,-0.0207657,-0.0545091,0.00531018,0.0663729,0.223743,-0.0440486,-0.0183142,-0.0601016,0.0170923,0.0553491
15.8,-0.0203973,-0.0546149,0.00577146,0.0643589,0.218262,-0.0438472,-0.0181249,-0.0603274,0.0166204,0.0553518
15.9,-0.0200104,-0.0546748,0.00622964,0.0623938,0.212771,-0.0435885,-0.0179208,-0.0605027,0.0161324,0.0553089
16,-0.0196056,-0.0546886,0.00668413,0.0604788,0.207273,-0.0432728,-0.0177022,-0.0606275,0.0156289,0.0552204
16.1,-0.0191834,-0.0546565,0.00713436,0.0586149,0.201774,-0.0429007,-0.0174694,-0.0607016,0.0151106,0.0550865
16.2,-0.0187443,-0.0545785,0.00757975,0.0568031,0.196279,-0.0424727,-0.0172225,-0.0607251,0.0145782,0.0549072
16.3,-0.0182888,-0.0544547,0.00801973,0.0550444,0.190793,-0.0419897,-0.0169618,-0.0606979,0.0140325,0.0546829
16.4,-0.0178175,-0.0542853,0.00845373,0.0533395,0.185319,-0.0414522,-0.0166876,-0.0606202,0.0134741,0.0544136
16.5,-0.0173309,-0.0540704,0.00888121,0.0516894,0.179863,-0.0408612,-0.0164002,-0.0604921,0.0129038,0.0540996
16.6,-0.0168295,-0.0538104,0.00930161,0.0500948,0.17443,-0.0402176,-0.0160996,-0.0603137,0.0123224,0.0537413
16.7,-0.0163138,-0.0535054,0.00971441,0.0485564,0.169024,-0.0395222,-0.0157864,-0.0600852,0.0117304,0.053339
16.8,-0.0157845,-0.0531559,0.0101191,0.047075,0.163649,-0.0387763,-0.0154606,-0.0598069,0.0111288,0.052893
16.9,-0.015242,-0.052762,0.0105151,0.0456511,0.158311,-0.0379808,-0.0151225,-0.0594792,0.0105181,0.0524038
17,-0.0146868,-0.0523243,0.0109019,0.0442855,0.153014,-0.0371371,-0.0147724,-0.0591023,0.00989909,0.0518718
17.1,-0.0141197,-0.0518432,0.0112792,0.0429786,0.147762,-0.0362462,-0.0144106,-0.0586767,0.00927255,0.0512974
17.2,-0.0135411,-0.051319,0.0116462,0.041731,0.14256,-0.0353095,-0.0140372,-0.0582028,0.00863916,0.0506812
17.3,-0.0129515,-0.0507524,0.0120027,0.0405433,0.137413,-0.0343283,-0.0136527,-0.0576812,0.00799966,0.0500238
17.4,-0.0123516,-0.0501437,0.0123482,0.0394158,0.132323,-0.033304,-0.0132572,-0.0571122,0.00735475,0.0493256
17.5,-0.0117419,-0.0494937,0.0126821,0.0383491,0.127296,-0.0322382,-0.012851,-0.0564966,0.00670514,0.0485874
17.6,-0.011123,-0.0488028,0.0130041,0.0373435,0.122337,-0.0311321,-0.0124343,-0.0558349,0.00605155,0.0478097
17.7,-0.0104954,-0.0480717,0.0133138,0.0363995,0.117448,-0.0299874,-0.0120076,-0.0551277,0.00539467,0.0469932
17.8,-0.00985979,-0.0473012,0.0136108,0.0355174,0.112634,-0.0288057,-0.011571,-0.0543758,0.00473522,0.0461387
17.9,-0.00921665,-0.0464918,0.0138947,0.0346975,0.107899,-0.0275885,-0.0111248,-0.0535799,0.00407387,0.0452469
18,-0.00856661,-0.0456443,0.0141651,0.0339401,0.103246,-0.0263374,-0.0106694,-0.0527408,0.00341132,0.0443186
18.1,-0.00791023,-0.0447595,0.0144216,0.0332456,0.0986808,-0.0250541,-0.010205,-0.0518592,0.00274826,0.0433545
18.2,-0.00724812,-0.0438382,0.014664,0.0326142,0.0942054,-0.0237404,-0.00973195,-0.0509361,0.00208535,0.0423556
18.3,-0.00658084,-0.0428811,0.0148919,0.0320461,0.0898239,-0.0223978,-0.00925055,-0.0499722,0.00142326,0.0413226
18.4,-0.005909,-0.0418892,0.0151051,0.0315415,0.0855399,-0.0210282,-0.00876112,-0.0489685,0.000762659,0.0402565
18.5,-0.00523319,-0.0408633,0.0153032,0.0311006,0.0813567,-0.0196332,-0.00826399,-0.0479259,0.000104198,0.0391582
18.6,-0.004554,-0.0398042,0.0154859,0.0307237,0.0772777,-0.0182147,-0.0077595,-0.0468454,-0.000551475,0.0380286
18.7,-0.00387202,-0.038713,0.0156531,0.0304107,0.0733061,-0.0167744,-0.00724799,-0.0457279,-0.00120372,0.0368687
18.8,-0.00318786,-0.0375906,0.0158045,0.0301618,0.069445,-0.015314,-0.00672982,-0.0445746,-0.00185191,0.0356795
18.9,-0.00250212,-0.0364379,0.0159399,0.0299771,0.0656976,-0.0138354,-0.00620535,-0.0433865,-0.00249543,0.0344621
19,-0.0018154,-0.035256,0.016059,0.0298567,0.0620666,-0.0123403,-0.00567494,-0.0421645,-0.00313365,0.0332174
19.1,-0.0011283,-0.0340458,0.0161618,0.0298004,0.058555,-0.0108306,-0.00513898,-0.0409099,-0.00376597,0.0319466
19.2,-0.000441421,-0.0328085,0.016248,0.0298085,0.0551655,-0.00930798,-0.00459785,-0.0396238,-0.00439181,0.0306507
19.3,0.000244622,-0.031545,0.0163175,0.0298807,0.0519007,-0.00777424,-0.00405195,-0.0383073,-0.00501056,0.0293308
19.4,0.000929225,-0.0302565,0.0163702,0.030017,0.0487631,-0.00623115,-0.00350169,-0.0369615,-0.00562166,0.0279881
19.5,0.00161178,-0.0289441,0.016406,0.0302173,0.0457551,-0.00468048,-0.00294749,-0.0355877,-0.00622455,0.0266238
19.6,0.00229168,-0.0276088,0.0164247,0.0304814,0.0428789,-0.00312396,-0.00238978,-0.0341871,-0.00681865,0.0252389
19.7,0.00296832,-0.0262519,0.0164264,0.0308091,0.0401368,-0.00156333,-0.00182898,-0.0327608,-0.00740344,0.0238348
19.8,0.00364109,-0.0248745,0.016411,0.0312002,0.0375308,-2.99075e-07,-0.00126555,-0.0313102,-0.00797837,0.0224125
19.9,0.00430938,-0.0234777,0.0163784,0.0316545,0.0350629,0.00156344,-0.000699931,-0.0298365,-0.00854292,0.0209734
20,0.00497258,-0.0220627,0.0163286,0.0321715,0.0327349,0.00312622,-0.000132598,-0.0283408,-0.00909658,0.0195186
20.1,0.00563009,-0.0206308,0.0162617,0.032751,0.0305485,0.00468639,0.000435979,-0.0268247,-0.00963884,0.0180494
20.2,0.00628131,-0.019183,0.0161776,0.0333925,0.0285052,0.00624233,0.00100532,-0.0252892,-0.0101692,0.016567
20.3,0.00692563,-0.0177207,0.0160763,0.0340955,0.0266067,0.00779246,0.00157494,-0.0237357,-0.0106873,0.0150728
20.4,0.00756245,-0.0162451,0.015958,0.0348596,0.0248542,0.00933522,0.00214433,-0.0221655,-0.0111925,0.013568
20.5,0.00819119,-0.0147574,0.0158227,0.0356841,0.023249,0.0108691,0.002713,-0.0205799,-0.0116844,0.0120539
20.6,0.00881124,-0.0132588,0.0156705,0.0365685,0.0217923,0.0123925,0.00328042,-0.0189803,-0.0121626,0.0105317
20.7,0.00942202,-0.0117507,0.0155015,0.0375121,0.0204849,0.0139041,0.0038461,-0.017368,-0.0126268,0.00900293
20.8,0.010023,-0.0102342,0.0153158,0.0385142,0.0193279,0.0154024,0.00440949,-0.0157442,-0.0130763,0.00746875
20.9,0.0106134,-0.00871061,0.0151135,0.0395739,0.018322,0.016886,0.00497007,-0.0141104,-0.0135109,0.0059305
