time,p,q,r,phi,theta,psi,delta1,delta2,delta3,delta4
5.6,1.63994e-08,0.001,-6.80289e-12,3.06125e-08,0.0056,3.33338e-11,0,000
5.7,1.69903e-08,0.001,-7.17388e-12,3.22819e-08,0.0057,3.57794e-11,0,000
5.8,1.75917e-08,0.001,-7.55812e-12,3.40109e-08,0.0058,3.83571e-11,0,000
5.9,1.82035e-08,0.001,-7.95584e-12,3.58006e-08,0.0059,4.10716e-11,0,000
6,1.88258e-08,0.001,-8.36727e-12,3.7652e-08,0.006,4.39277e-11,0,000
6.1,1.94585e-08,0.001,-8.79265e-12,3.95661e-08,0.0061,4.69303e-11,0,000
6.2,2.01018e-08,0.001,-9.23221e-12,4.15441e-08,0.0062,5.00842e-11,0,000
6.3,2.07554e-08,0.001,-9.68618e-12,4.35869e-08,0.0063,5.33944e-11,0,000
6.4,2.14195e-08,0.001,-1.01548e-11,4.56956e-08,0.0064,5.68662e-11,0,000
6.5,2.20941e-08,0.001,-1.06383e-11,4.78712e-08,0.0065,6.05045e-11,0,000
6.6,2.27792e-08,0.001,-1.11369e-11,5.01148e-08,0.0066,6.43147e-11,0,000
6.7,2.34747e-08,0.001,-1.16508e-11,5.24274e-08,0.0067,6.8302e-11,0,000
6.8,2.41806e-08,0.001,-1.21803e-11,5.48101e-08,0.0068,7.2472e-11,0,000
6.9,2.4897e-08,0.001,-1.27256e-11,5.72639e-08,0.0069,7.683e-11,0,000
7,2.56239e-08,0.001,-1.3287e-11,5.97899e-08,0.007,8.13817e-11,0,000
7.1,2.63612e-08,0.001,-1.38646e-11,6.23891e-08,0.0071,8.61327e-11,0,000
7.2,2.7109e-08,0.001,-1.44588e-11,6.50626e-08,0.0072,9.10888e-11,0,000
7.3,2.78672e-08,0.001,-1.50696e-11,6.78113e-08,0.0073,9.62557e-11,0,000
7.4,2.86359e-08,0.001,-1.56975e-11,7.06365e-08,0.0074,1.01639e-10,0,000
7.5,2.94151e-08,0.001,-1.63425e-11,7.3539e-08,0.0075,1.07246e-10,0,000
7.6,3.02047e-08,0.001,-1.7005e-11,7.65199e-08,0.0076,1.13081e-10,0,000
7.7,3.10048e-08,0.001,-1.76851e-11,7.95804e-08,0.0077,1.19151e-10,0,000
7.8,3.18153e-08,0.001,-1.83831e-11,8.27213e-08,0.0078,1.25463e-10,0,000
7.9,3.26363e-08,0.001,-1.90993e-11,8.59439e-08,0.0079,1.32021e-10,0,000
8,3.34678e-08,0.001,-1.98338e-11,8.9249e-08,0.008,1.38834e-10,0,000
